序号,问题,答案,标准名称,标准编号,问答类型,适配路径,来源记录ID,来源链接,复核状态
1061,标准《水稻二化螟抗药性测定技术规程》的编号是什么？,该标准的编号为DB51/T 1544-2012。,水稻二化螟抗药性测定技术规程,DB51/T 1544-2012,事实型问答,GraphRAG-MCP快路径,standard_2a1955847f46114d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D6C112E24E05397BE0A0A3A10,机器构建后待人工复核
1062,标准《水稻-川芎保护性耕作栽培技术规程》的编号是什么？,该标准的编号为DB51/T 1557-2012。,水稻-川芎保护性耕作栽培技术规程,DB51/T 1557-2012,事实型问答,GraphRAG-MCP快路径,standard_8988bcddc2d918bc,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D41D92E24E05397BE0A0A3A10,机器构建后待人工复核
1063,标准《水稻控制性节水灌溉栽培技术规程》的编号是什么？,该标准的编号为DB51/T 1641-2013。,水稻控制性节水灌溉栽培技术规程,DB51/T 1641-2013,事实型问答,GraphRAG-MCP快路径,standard_487d13f1d01b785f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DD9522E24E05397BE0A0A3A10,机器构建后待人工复核
1064,标准《杂交水稻品种纯度SSR分子检测方法》的编号是什么？,该标准的编号为DB51/T 1667-2013。,杂交水稻品种纯度SSR分子检测方法,DB51/T 1667-2013,事实型问答,GraphRAG-MCP快路径,standard_09b5ecb0a69722fc,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D68DF2E24E05397BE0A0A3A10,机器构建后待人工复核
1065,标准《水稻—泽泻保护性耕作栽培技术规程》的编号是什么？,该标准的编号为DB51/T 1674-2013。,水稻—泽泻保护性耕作栽培技术规程,DB51/T 1674-2013,事实型问答,GraphRAG-MCP快路径,standard_3c2b33351a77bd3b,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D47FF2E24E05397BE0A0A3A10,机器构建后待人工复核
1066,标准《水稻田杂草综合治理技术规程》的编号是什么？,该标准的编号为DB51/T 1677-2013。,水稻田杂草综合治理技术规程,DB51/T 1677-2013,事实型问答,GraphRAG-MCP快路径,standard_30df21a17e2d7a1f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DA4A52E24E05397BE0A0A3A10,机器构建后待人工复核
1067,标准《水稻纹桔病菌对井冈霉素抗药性室内测定技术规程》的编号是什么？,该标准的编号为DB51/T 1679-2013。,水稻纹桔病菌对井冈霉素抗药性室内测定技术规程,DB51/T 1679-2013,事实型问答,GraphRAG-MCP快路径,standard_3f77b4b587fa51fb,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D911C2E24E05397BE0A0A3A10,机器构建后待人工复核
1068,标准《水稻抗稻曲病性鉴定技术规程》的编号是什么？,该标准的编号为DB51/T 1884-2014。,水稻抗稻曲病性鉴定技术规程,DB51/T 1884-2014,事实型问答,GraphRAG-MCP快路径,standard_16079f515a2d3a64,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D77BF2E24E05397BE0A0A3A10,机器构建后待人工复核
1069,标准《水稻稻曲病田间病情调查技术规程》的编号是什么？,该标准的编号为DB51/T 2087-2015。,水稻稻曲病田间病情调查技术规程,DB51/T 2087-2015,事实型问答,GraphRAG-MCP快路径,standard_86103cf586afcd99,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D37072E24E05397BE0A0A3A10,机器构建后待人工复核
1070,标准《三系杂交水稻亲本种子生产技术规程》的编号是什么？,该标准的编号为DB51/T 2215-2016。,三系杂交水稻亲本种子生产技术规程,DB51/T 2215-2016,事实型问答,GraphRAG-MCP快路径,standard_120dff3d3c0d0886,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DA3132E24E05397BE0A0A3A10,机器构建后待人工复核
1071,标准《水稻机直播生产技术规程》的编号是什么？,该标准的编号为DB51/T 2220-2016。,水稻机直播生产技术规程,DB51/T 2220-2016,事实型问答,GraphRAG-MCP快路径,standard_bfbee0791bc74dad,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D3A352E24E05397BE0A0A3A10,机器构建后待人工复核
1072,标准《水稻稻曲病菌的PCR特异性检测方法》的编号是什么？,该标准的编号为DB51/T 2270-2016。,水稻稻曲病菌的PCR特异性检测方法,DB51/T 2270-2016,事实型问答,GraphRAG-MCP快路径,standard_e5696d4bbcac9e2a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D72012E24E05397BE0A0A3A10,机器构建后待人工复核
1073,标准《水稻制种基地检疫管理规程》的编号是什么？,该标准的编号为DB51/T 2361-2017。,水稻制种基地检疫管理规程,DB51/T 2361-2017,事实型问答,GraphRAG-MCP快路径,standard_757b1081f832fec8,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DAF0A2E24E05397BE0A0A3A10,机器构建后待人工复核
1074,标准《附子/水稻套作栽培技术规程》的编号是什么？,该标准的编号为DB51/T 2472-2018。,附子/水稻套作栽培技术规程,DB51/T 2472-2018,事实型问答,GraphRAG-MCP快路径,standard_db55252a5ec9079a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D9CEB2E24E05397BE0A0A3A10,机器构建后待人工复核
1075,标准《冬水稻田土壤改良技术规程》的编号是什么？,该标准的编号为DB51/T 2498-2018。,冬水稻田土壤改良技术规程,DB51/T 2498-2018,事实型问答,GraphRAG-MCP快路径,standard_38d9907b97ca7d2e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DAC7B2E24E05397BE0A0A3A10,机器构建后待人工复核
1076,标准《水稻节水节肥栽培技术规程》的编号是什么？,该标准的编号为DB51/T 2517-2018。,水稻节水节肥栽培技术规程,DB51/T 2517-2018,事实型问答,GraphRAG-MCP快路径,standard_374087298aad700d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D992F2E24E05397BE0A0A3A10,机器构建后待人工复核
1077,标准《水稻主要病虫害绿色防控技术规程》的编号是什么？,该标准的编号为DB51/T 2519-2018。,水稻主要病虫害绿色防控技术规程,DB51/T 2519-2018,事实型问答,GraphRAG-MCP快路径,standard_9f9eaa5fb5d671a3,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D99312E24E05397BE0A0A3A10,机器构建后待人工复核
1078,标准《水稻全程机械化生产技术规程》的编号是什么？,该标准的编号为DB51/T 2606-2019。,水稻全程机械化生产技术规程,DB51/T 2606-2019,事实型问答,GraphRAG-MCP快路径,standard_c2b694109ffac919,https://std.samr.gov.cn/db/search/stdDBDetailed?id=998D024A20F68BEDE05397BE0A0A0A7C,机器构建后待人工复核
1079,标准《稻鸭共作及水稻绿色防控融合技术规程》的编号是什么？,该标准的编号为DB51/T 2674-2020。,稻鸭共作及水稻绿色防控融合技术规程,DB51/T 2674-2020,事实型问答,GraphRAG-MCP快路径,standard_c7ebd677a74c4fdd,https://std.samr.gov.cn/db/search/stdDBDetailed?id=A47E3B0730D229C1E05397BE0A0A0114,机器构建后待人工复核
1080,标准《水稻机械化种植同步侧深施肥技术规程》的编号是什么？,该标准的编号为DB51/T 2747-2021。,水稻机械化种植同步侧深施肥技术规程,DB51/T 2747-2021,事实型问答,GraphRAG-MCP快路径,standard_c9c9f5d6838d4d1a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=BC354D2B924F0E39E05397BE0A0A580F,机器构建后待人工复核
1081,标准《水稻简化旱育秧技术规程》的编号是什么？,该标准的编号为DB51/T 277-2014。,水稻简化旱育秧技术规程,DB51/T 277-2014,事实型问答,GraphRAG-MCP快路径,standard_2340877181ffccfd,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D25192E24E05397BE0A0A3A10,机器构建后待人工复核
1082,标准《四川水稻机械化育秧技术规程》的编号是什么？,该标准的编号为DB51/T 2884-2022。,四川水稻机械化育秧技术规程,DB51/T 2884-2022,事实型问答,GraphRAG-MCP快路径,standard_32a77d0bcce2c248,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E14C3E45CD210EB8E05397BE0A0AE36D,机器构建后待人工复核
1083,标准《水稻品种适配机械化生产的筛选技术规程》的编号是什么？,该标准的编号为DB51/T 2886-2022。,水稻品种适配机械化生产的筛选技术规程,DB51/T 2886-2022,事实型问答,GraphRAG-MCP快路径,standard_b1b7d763fd7cabfa,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E14C3E45CD230EB8E05397BE0A0AE36D,机器构建后待人工复核
1084,标准《水稻对南方水稻黑条矮缩病抗性鉴定技术规程》的编号是什么？,该标准的编号为DB51/T 3006-2023。,水稻对南方水稻黑条矮缩病抗性鉴定技术规程,DB51/T 3006-2023,事实型问答,GraphRAG-MCP快路径,standard_c966e2ec17f7d1f4,https://std.samr.gov.cn/db/search/stdDBDetailed?id=F6C05E1871BA0F95E05397BE0A0A78E6,机器构建后待人工复核
1085,标准《水稻无人机直播生产技术规程》的编号是什么？,该标准的编号为DB51/T 3074-2023。,水稻无人机直播生产技术规程,DB51/T 3074-2023,事实型问答,GraphRAG-MCP快路径,standard_6eafbdc86d08a26e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=FFCD4FF4B7878890E05397BE0A0A3E14,机器构建后待人工复核
1086,标准《机插水稻育秧基质生产技术规程》的编号是什么？,该标准的编号为DB51/T 3135-2023。,机插水稻育秧基质生产技术规程,DB51/T 3135-2023,事实型问答,GraphRAG-MCP快路径,standard_42aaad4d38b67e81,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0F0D8EA2BD725243E06397BE0A0A3EB6,机器构建后待人工复核
1087,标准《水稻淹水直播生产技术规程》的编号是什么？,该标准的编号为DB51/T 3140-2023。,水稻淹水直播生产技术规程,DB51/T 3140-2023,事实型问答,GraphRAG-MCP快路径,standard_807fdb6caa422e2c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=0F0D8EA2BD775243E06397BE0A0A3EB6,机器构建后待人工复核
1088,标准《杂交水稻精准条播育插秧技术规程》的编号是什么？,该标准的编号为DB51/T 3277-2025。,杂交水稻精准条播育插秧技术规程,DB51/T 3277-2025,事实型问答,GraphRAG-MCP快路径,standard_7a18488d6acf2153,https://std.samr.gov.cn/db/search/stdDBDetailed?id=35B6BD111D89E4C3E06397BE0A0A5FFC,机器构建后待人工复核
1089,标准《无农药污染水稻病虫综合防治（IPM）技术规程》的编号是什么？,该标准的编号为DB51/T 328.3-2001。,无农药污染水稻病虫综合防治（IPM）技术规程,DB51/T 328.3-2001,事实型问答,GraphRAG-MCP快路径,standard_39a110edb93c0ab7,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB87E2E24E05397BE0A0A3A10,机器构建后待人工复核
1090,标准《无公害农产品生产技术规程 水稻》的编号是什么？,该标准的编号为DB51/T 340-2001。,无公害农产品生产技术规程 水稻,DB51/T 340-2001,事实型问答,GraphRAG-MCP快路径,standard_3bd194b14c8acdca,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D369F2E24E05397BE0A0A3A10,机器构建后待人工复核
1091,标准《水稻免耕抛秧技术规程》的编号是什么？,该标准的编号为DB51/T 483-2005。,水稻免耕抛秧技术规程,DB51/T 483-2005,事实型问答,GraphRAG-MCP快路径,standard_356a25599a2bbb47,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D65F62E24E05397BE0A0A3A10,机器构建后待人工复核
1092,标准《盆周山区水稻地膜全程覆盖栽培技术规程》的编号是什么？,该标准的编号为DB51/T 485-2005。,盆周山区水稻地膜全程覆盖栽培技术规程,DB51/T 485-2005,事实型问答,GraphRAG-MCP快路径,standard_376eeeb3f65da329,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D77912E24E05397BE0A0A3A10,机器构建后待人工复核
1093,标准《籼型“三系”杂交水稻种子田间检验规程》的编号是什么？,该标准的编号为DB51/T 632-2007。,籼型“三系”杂交水稻种子田间检验规程,DB51/T 632-2007,事实型问答,GraphRAG-MCP快路径,standard_960ae0c99801ab9c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D650B2E24E05397BE0A0A3A10,机器构建后待人工复核
1094,标准《水稻抗稻瘟病性田间鉴定技术规程》的编号是什么？,该标准的编号为DB51/T 714-2007。,水稻抗稻瘟病性田间鉴定技术规程,DB51/T 714-2007,事实型问答,GraphRAG-MCP快路径,standard_ddf13d0b565bcf8f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D4A592E24E05397BE0A0A3A10,机器构建后待人工复核
1095,标准《水稻细菌性条斑病检验鉴定技术规范》的编号是什么？,该标准的编号为DB51/T 724-2007。,水稻细菌性条斑病检验鉴定技术规范,DB51/T 724-2007,事实型问答,GraphRAG-MCP快路径,standard_cf6f5485c1af6350,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D44882E24E05397BE0A0A3A10,机器构建后待人工复核
1096,标准《水稻沼液浸种操作规程》的编号是什么？,该标准的编号为DB51/T 771-2008。,水稻沼液浸种操作规程,DB51/T 771-2008,事实型问答,GraphRAG-MCP快路径,standard_2be752109d002dfc,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D7DC92E24E05397BE0A0A3A10,机器构建后待人工复核
1097,标准《水稻机械插秧配套栽培技术规程》的编号是什么？,该标准的编号为DB51/T 870-2009。,水稻机械插秧配套栽培技术规程,DB51/T 870-2009,事实型问答,GraphRAG-MCP快路径,standard_813e2d6b862bf0d4,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D36EF2E24E05397BE0A0A3A10,机器构建后待人工复核
1098,标准《水稻机械插秧配套技术规程》的编号是什么？,该标准的编号为DB51/T 870-2019。,水稻机械插秧配套技术规程,DB51/T 870-2019,事实型问答,GraphRAG-MCP快路径,standard_40f026659e298a48,https://std.samr.gov.cn/db/search/stdDBDetailed?id=998D024A20FC8BEDE05397BE0A0A0A7C,机器构建后待人工复核
1099,标准《水稻稻瘟病菌对稻瘟灵抗药性室内测定技术规程》的编号是什么？,该标准的编号为DB51/T 875-2009。,水稻稻瘟病菌对稻瘟灵抗药性室内测定技术规程,DB51/T 875-2009,事实型问答,GraphRAG-MCP快路径,standard_4a17d6e7b7e99ad7,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D7CDD2E24E05397BE0A0A3A10,机器构建后待人工复核
1100,标准《水稻稻瘟病防治技术规程》的编号是什么？,该标准的编号为DB51/T 883-2009。,水稻稻瘟病防治技术规程,DB51/T 883-2009,事实型问答,GraphRAG-MCP快路径,standard_8f406333d0ed6d22,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D86DC2E24E05397BE0A0A3A10,机器构建后待人工复核
1101,标准《除草剂防除水稻田杂草田间药效试验技术规程》的编号是什么？,该标准的编号为DB51/T 884-2009。,除草剂防除水稻田杂草田间药效试验技术规程,DB51/T 884-2009,事实型问答,GraphRAG-MCP快路径,standard_b17ad416b353946d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D8FAA2E24E05397BE0A0A3A10,机器构建后待人工复核
1102,标准《水稻二化螟防治技术规程》的编号是什么？,该标准的编号为DB51/T 885-2009。,水稻二化螟防治技术规程,DB51/T 885-2009,事实型问答,GraphRAG-MCP快路径,standard_920fe707b9bc4c46,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DDEDA2E24E05397BE0A0A3A10,机器构建后待人工复核
1103,标准《绿色食品 水稻生产技术规程》的编号是什么？,该标准的编号为DB51/T 901-2009。,绿色食品 水稻生产技术规程,DB51/T 901-2009,事实型问答,GraphRAG-MCP快路径,standard_b3712f433d6f2e7c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D3B2F2E24E05397BE0A0A3A10,机器构建后待人工复核
1104,标准《水稻超高产强化栽培技术规程》的编号是什么？,该标准的编号为DB51/T 913-2009。,水稻超高产强化栽培技术规程,DB51/T 913-2009,事实型问答,GraphRAG-MCP快路径,standard_6708c2066ce626fc,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D542D2E24E05397BE0A0A3A10,机器构建后待人工复核
1105,标准《水稻象甲监测与鉴定技术规程》的编号是什么？,该标准的编号为DB51/T 920-2009。,水稻象甲监测与鉴定技术规程,DB51/T 920-2009,事实型问答,GraphRAG-MCP快路径,standard_fe7b0c223e525a34,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DDC852E24E05397BE0A0A3A10,机器构建后待人工复核
1106,标准《水稻白叶枯病菌检验鉴定技术规程》的编号是什么？,该标准的编号为DB51/T 921-2009。,水稻白叶枯病菌检验鉴定技术规程,DB51/T 921-2009,事实型问答,GraphRAG-MCP快路径,standard_f149936f1e5448fe,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D3F912E24E05397BE0A0A3A10,机器构建后待人工复核
1107,标准《成都平坝区水稻土综合整治耕地质量控制与评价》的编号是什么？,该标准的编号为DB5101/T 127—2021。,成都平坝区水稻土综合整治耕地质量控制与评价,DB5101/T 127—2021,事实型问答,GraphRAG-MCP快路径,standard_4879c3e89c9f88a1,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C67103DD8DC1DC02E05397BE0A0A95AB,机器构建后待人工复核
1108,标准《成都市麦（油）茬水稻水直播技术规程》的编号是什么？,该标准的编号为DB5101/T 59—2019。,成都市麦（油）茬水稻水直播技术规程,DB5101/T 59—2019,事实型问答,GraphRAG-MCP快路径,standard_b1c03e5a76ef457a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=A108476819BB3252E05397BE0A0A9FAA,机器构建后待人工复核
1109,标准《泸州市水稻直播技术规程》的编号是什么？,该标准的编号为DB5105/T 5-2018。,泸州市水稻直播技术规程,DB5105/T 5-2018,事实型问答,GraphRAG-MCP快路径,standard_3e46ab7b34d8fade,https://std.samr.gov.cn/db/search/stdDBDetailed?id=923E7C4B8C2984AFE05397BE0A0A2E1B,机器构建后待人工复核
1110,标准《机插水稻育秧基质制备技术规程》的编号是什么？,该标准的编号为DB5106/T 16-2021。,机插水稻育秧基质制备技术规程,DB5106/T 16-2021,事实型问答,GraphRAG-MCP快路径,standard_71af4f4726aec97b,https://std.samr.gov.cn/db/search/stdDBDetailed?id=D7B6AF366DBAB0BFE05397BE0A0A41EF,机器构建后待人工复核
1111,标准《丘区三系杂交水稻制种技术规程》的编号是什么？,该标准的编号为DB5106/T 34-2024。,丘区三系杂交水稻制种技术规程,DB5106/T 34-2024,事实型问答,GraphRAG-MCP快路径,standard_4ef7ec08b365683a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=1E6F96469951D914E06397BE0A0AAED6,机器构建后待人工复核
1112,标准《杂交水稻制种全程机械化技术规范》的编号是什么？,该标准的编号为DB5107/T 114—2022。,杂交水稻制种全程机械化技术规范,DB5107/T 114—2022,事实型问答,GraphRAG-MCP快路径,standard_10987bb52210265f,https://std.samr.gov.cn/db/search/stdDBDetailed?id=DF692D2BCBF2C564E05397BE0A0AE1BB,机器构建后待人工复核
1113,标准《附子–水稻轮作栽培技术规程》的编号是什么？,该标准的编号为DB5107/T 131—2023。,附子–水稻轮作栽培技术规程,DB5107/T 131—2023,事实型问答,GraphRAG-MCP快路径,standard_f741acedaafc570c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=013334F424E92312E06397BE0A0A47A1,机器构建后待人工复核
1114,标准《丘陵区水稻机直播适宜作业机具及配套管理技术规程》的编号是什么？,该标准的编号为DB5107/T 132—2023。,丘陵区水稻机直播适宜作业机具及配套管理技术规程,DB5107/T 132—2023,事实型问答,GraphRAG-MCP快路径,standard_327f9e030f20feaf,https://std.samr.gov.cn/db/search/stdDBDetailed?id=013334F424EA2312E06397BE0A0A47A1,机器构建后待人工复核
1115,标准《水稻育秧有机基质》的编号是什么？,该标准的编号为DB5107/T 145-2025。,水稻育秧有机基质,DB5107/T 145-2025,事实型问答,GraphRAG-MCP快路径,standard_65119ecd8b22634a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2E9E6EC911612E39E06397BE0A0A5244,机器构建后待人工复核
1116,标准《水稻旱育秧技术规程》的编号是什么？,该标准的编号为DB5110/T 35—2021。,水稻旱育秧技术规程,DB5110/T 35—2021,事实型问答,GraphRAG-MCP快路径,standard_3e3e762094417561,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C724F2CAC2E5D59DE05397BE0A0A2A74,机器构建后待人工复核
1117,标准《冬水田水稻轻简化直播生产技术规程》的编号是什么？,该标准的编号为DB5110/T 36—2021。,冬水田水稻轻简化直播生产技术规程,DB5110/T 36—2021,事实型问答,GraphRAG-MCP快路径,standard_be9791f84f2055bc,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C724F2CAC2E6D59DE05397BE0A0A2A74,机器构建后待人工复核
1118,标准《水稻生产气象服务规范》的编号是什么？,该标准的编号为DB5114/T 62-2024。,水稻生产气象服务规范,DB5114/T 62-2024,事实型问答,GraphRAG-MCP快路径,standard_6741ccc49bf8263b,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2C6E95DA7FC64357E06397BE0A0A5861,机器构建后待人工复核
1119,标准《宜宾天然富硒水稻绿色生产技术规程》的编号是什么？,该标准的编号为DB5115/T 19-2020。,宜宾天然富硒水稻绿色生产技术规程,DB5115/T 19-2020,事实型问答,GraphRAG-MCP快路径,standard_2e641393174e3097,https://std.samr.gov.cn/db/search/stdDBDetailed?id=A8A488C40D1DF75CE05397BE0A0AB25E,机器构建后待人工复核
1120,标准《酿酒专用粮 水稻绿色生产技术规程》的编号是什么？,该标准的编号为DB5115/T 32-2020。,酿酒专用粮 水稻绿色生产技术规程,DB5115/T 32-2020,事实型问答,GraphRAG-MCP快路径,standard_da0c6891ee646554,https://std.samr.gov.cn/db/search/stdDBDetailed?id=AB046CC5A83585A0E05397BE0A0A17C8,机器构建后待人工复核
1121,标准《农业社会化服务 水稻生产服务规范》的编号是什么？,该标准的编号为DB5115/T 83—2022。,农业社会化服务 水稻生产服务规范,DB5115/T 83—2022,事实型问答,GraphRAG-MCP快路径,standard_2ddf8530a65f3212,https://std.samr.gov.cn/db/search/stdDBDetailed?id=DF30E86A5E40AA16E05397BE0A0A9D85,机器构建后待人工复核
1122,标准《水稻-中药材（泽泻、川芎）轮作生产技术规程》的编号是什么？,该标准的编号为DB5115/T 99—2022。,水稻-中药材（泽泻、川芎）轮作生产技术规程,DB5115/T 99—2022,事实型问答,GraphRAG-MCP快路径,standard_7d960544ac1fe735,https://std.samr.gov.cn/db/search/stdDBDetailed?id=F1DFF988085B6A1DE05397BE0A0A2557,机器构建后待人工复核
1123,标准《水稻生产社会化服务规范》的编号是什么？,该标准的编号为DB5116/T 26-2025。,水稻生产社会化服务规范,DB5116/T 26-2025,事实型问答,GraphRAG-MCP快路径,standard_7fec4be858c0b40c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=2E54671D574C521DE06397BE0A0A84EE,机器构建后待人工复核
1124,标准《达州市水稻直播栽培技术规程》的编号是什么？,该标准的编号为DB5117/T 65-2022。,达州市水稻直播栽培技术规程,DB5117/T 65-2022,事实型问答,GraphRAG-MCP快路径,standard_2185b44196c7ee91,https://std.samr.gov.cn/db/search/stdDBDetailed?id=F03AF1B12E1F4CB2E05397BE0A0AA01A,机器构建后待人工复核
1125,标准《贵州水稻机插秧全程机械化 第1部分 总则》的编号是什么？,该标准的编号为DB52/T 1246.1-2017。,贵州水稻机插秧全程机械化 第1部分 总则,DB52/T 1246.1-2017,事实型问答,GraphRAG-MCP快路径,standard_e88e80f2f075ea06,https://std.samr.gov.cn/db/search/stdDBDetailed?id=9359929620B09566E05397BE0A0A9212,机器构建后待人工复核
1126,标准《贵州水稻机插秧全程机械化 第2部分 本田耕整》的编号是什么？,该标准的编号为DB52/T 1246.2-2017。,贵州水稻机插秧全程机械化 第2部分 本田耕整,DB52/T 1246.2-2017,事实型问答,GraphRAG-MCP快路径,standard_af84aaae0ffae002,https://std.samr.gov.cn/db/search/stdDBDetailed?id=9359929620B19566E05397BE0A0A9212,机器构建后待人工复核
1127,标准《贵州水稻机插秧全程机械化 第3部分 播种育秧》的编号是什么？,该标准的编号为DB52/T 1246.3-2017。,贵州水稻机插秧全程机械化 第3部分 播种育秧,DB52/T 1246.3-2017,事实型问答,GraphRAG-MCP快路径,standard_f7f9abf4385ce3c7,https://std.samr.gov.cn/db/search/stdDBDetailed?id=9359929620B29566E05397BE0A0A9212,机器构建后待人工复核
1128,标准《贵州水稻机插秧全程机械化 第4部分 插秧》的编号是什么？,该标准的编号为DB52/T 1246.4-2017。,贵州水稻机插秧全程机械化 第4部分 插秧,DB52/T 1246.4-2017,事实型问答,GraphRAG-MCP快路径,standard_8d2b456df5eb90af,https://std.samr.gov.cn/db/search/stdDBDetailed?id=9359929620B39566E05397BE0A0A9212,机器构建后待人工复核
1129,标准《贵州水稻机插秧全程机械化 第5部分 植保》的编号是什么？,该标准的编号为DB52/T 1246.5-2017。,贵州水稻机插秧全程机械化 第5部分 植保,DB52/T 1246.5-2017,事实型问答,GraphRAG-MCP快路径,standard_f0b60f197efdae72,https://std.samr.gov.cn/db/search/stdDBDetailed?id=9359929620B49566E05397BE0A0A9212,机器构建后待人工复核
1130,标准《贵州水稻机插秧全程机械化 第6部分 灌溉》的编号是什么？,该标准的编号为DB52/T 1246.6-2017。,贵州水稻机插秧全程机械化 第6部分 灌溉,DB52/T 1246.6-2017,事实型问答,GraphRAG-MCP快路径,standard_f5e97a0d4eb22aea,https://std.samr.gov.cn/db/search/stdDBDetailed?id=9359929620B59566E05397BE0A0A9212,机器构建后待人工复核
1131,标准《贵州水稻机插秧全程机械化 第7部分 收获》的编号是什么？,该标准的编号为DB52/T 1246.7-2017。,贵州水稻机插秧全程机械化 第7部分 收获,DB52/T 1246.7-2017,事实型问答,GraphRAG-MCP快路径,standard_fd64861a7e13c2da,https://std.samr.gov.cn/db/search/stdDBDetailed?id=9359929620B69566E05397BE0A0A9212,机器构建后待人工复核
1132,标准《贵州水稻机插秧全程机械化 第8部分 秸秆还田》的编号是什么？,该标准的编号为DB52/T 1246.8-2017。,贵州水稻机插秧全程机械化 第8部分 秸秆还田,DB52/T 1246.8-2017,事实型问答,GraphRAG-MCP快路径,standard_a9d6db1b95fe371a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=9359929620B79566E05397BE0A0A9212,机器构建后待人工复核
1133,标准《水稻白背飞虱抗药性监测技术规程》的编号是什么？,该标准的编号为DB52/T 1323-2018。,水稻白背飞虱抗药性监测技术规程,DB52/T 1323-2018,事实型问答,GraphRAG-MCP快路径,standard_19517b7b78ad521a,https://std.samr.gov.cn/db/search/stdDBDetailed?id=934812B668A21CC6E05397BE0A0A62DF,机器构建后待人工复核
1134,标准《农作物抗病性鉴定技术规范 第1部分：水稻抗稻瘟病》的编号是什么？,该标准的编号为DB52/T 1501.1-2020。,农作物抗病性鉴定技术规范 第1部分：水稻抗稻瘟病,DB52/T 1501.1-2020,事实型问答,GraphRAG-MCP快路径,standard_fe27255221b77697,https://std.samr.gov.cn/db/search/stdDBDetailed?id=A92FB418676D1044E05397BE0A0A2724,机器构建后待人工复核
1135,标准《农作物抗病性鉴定技术规范 第2部分：水稻抗稻曲病》的编号是什么？,该标准的编号为DB52/T 1501.2-2020。,农作物抗病性鉴定技术规范 第2部分：水稻抗稻曲病,DB52/T 1501.2-2020,事实型问答,GraphRAG-MCP快路径,standard_0dc87272708f2478,https://std.samr.gov.cn/db/search/stdDBDetailed?id=A92FB418676E1044E05397BE0A0A2724,机器构建后待人工复核
